"","Date_time","Longitude_NTU","Latitude_NTU","Date","Time","Longitude","Latitude"
"120","2018-01-07 12:10:20","11619.78764","3959.5207","2018-01-07","12:10:20",116.338545555556,39.9977972222222
"121","2018-01-07 12:10:25","11619.79336","3959.52083","2018-01-07","12:10:25",116.338704444444,39.9978008333333
"122","2018-01-07 12:10:30","11619.79819","3959.52181","2018-01-07","12:10:30",116.338838611111,39.9978280555556
"123","2018-01-07 12:10:35","11619.80232","3959.52096","2018-01-07","12:10:35",116.338953333333,39.9978044444444
"124","2018-01-07 12:10:40","11619.80717","3959.52192","2018-01-07","12:10:40",116.339088055556,39.9978311111111
"125","2018-01-07 12:10:45","11619.81138","3959.52256","2018-01-07","12:10:45",116.339205,39.9978488888889
"126","2018-01-07 12:10:50","11619.81538","3959.52314","2018-01-07","12:10:50",116.339316111111,39.997865
"127","2018-01-07 12:10:55","11619.81986","3959.5223","2018-01-07","12:10:55",116.339440555556,39.9978416666667
"128","2018-01-07 12:11:00","11619.82505","3959.52242","2018-01-07","12:11:00",116.339584722222,39.997845
"129","2018-01-07 12:11:05","11619.83079","3959.52291","2018-01-07","12:11:05",116.339744166667,39.9978586111111
"130","2018-01-07 12:11:10","11619.83412","3959.52122","2018-01-07","12:11:10",116.339836666667,39.9978116666667
"131","2018-01-07 12:11:15","11619.8405","3959.52178","2018-01-07","12:11:15",116.340013888889,39.9978272222222
"132","2018-01-07 12:11:20","11619.84605","3959.52355","2018-01-07","12:11:20",116.340168055556,39.9978763888889
"133","2018-01-07 12:11:25","11619.85096","3959.52477","2018-01-07","12:11:25",116.340304444444,39.9979102777778
"134","2018-01-07 12:11:30","11619.85648","3959.52548","2018-01-07","12:11:30",116.340457777778,39.99793
"135","2018-01-07 12:11:35","11619.86146","3959.52567","2018-01-07","12:11:35",116.340596111111,39.9979352777778
"136","2018-01-07 12:11:40","11619.86524","3959.52669","2018-01-07","12:11:40",116.340701111111,39.9979636111111
"137","2018-01-07 12:11:45","11619.86948","3959.52776","2018-01-07","12:11:45",116.340818888889,39.9979933333333
"138","2018-01-07 12:11:50","11619.87405","3959.52793","2018-01-07","12:11:50",116.340945833333,39.9979980555556
"139","2018-01-07 12:11:55","11619.87839","3959.52816","2018-01-07","12:11:55",116.341066388889,39.9980044444444
"140","2018-01-07 12:12:00","11619.88115","3959.52959","2018-01-07","12:12:00",116.341143055556,39.9980441666667
